Country,Place,Lexis,Morph,Sound
1,Budel,9,4,13
2,Deerlijk,21,10,19
1,Den_Burg,30,11,12
2,Diepenbeek,29,14,19
1,Dokkum,12,11,12
1,Dordrecht,18,7,8
1,Grolloo,17,10,14
1,Grouw,16,7,9
1,Huizen,19,7,16
1,IJmuiden,26,0,11
1,Kampen,11,7,11
1,Kerkrade,13,15,13
1,Lunteren,23,4,15
2,Maldegem,39,13,20
1,Naaldwijk,31,3,11
1,Nijverdal,12,6,7
2,Oostende,33,3,13
2,Overijse,20,16,12
1,Pannerden,16,3,16
2,Poperinge,30,7,11
2,Rijkevorsel,17,15,16
1,Sint-Oedenrode,41,5,13
1,Slochteren,24,34,14
1,Tegelen,8,18,13
1,Zierikzee,15,14,12
